listing_id,source,district,ubigeo,address,urbanization,price_soles,area_m2,price_per_m2,rooms,bathrooms,parking,maintenance_fee,photos_count,district_median_price_m2,baseline_price_soles,opportunity_score_baseline,bcrp_price_m2_usd,bcrp_price_rent_ratio,proyectos_nuevos_distrito,unidades_nuevas_distrito,crime_index_zone,crime_trend_zone,urban_convenience_index,zone_composite_index,idh_2019,pct_pobreza_total
148288992,Urbania,ATE,150103,Salamanca de Monterrico,Salamanca De Monterrico,463500.0,107.0,4331.77570093458,3,2,0,100.0,1,3838.0,410666.0,-0.129,,,3,23,0.224,mejorando,0.203,0.49,0.686854963693964,17.174936
146921135,Urbania,ATE,150103,EL PALMAR,Salamanca De Monterrico,470000.0,80.0,5875.0,3,2,1,240.0,1,3838.0,307040.0,-0.531,,,3,23,0.224,mejorando,0.203,0.49,0.686854963693964,17.174936
145779160,Urbania,ATE,150103,C. Marbella  al 200,Mayorazgo,482330.0,99.0,4872.020202020202,3,2,0,0.0,1,3838.0,379962.0,-0.269,,,3,23,0.224,mejorando,0.203,0.49,0.686854963693964,17.174936
148153278,Urbania,ATE,150103,Paracas 120,Salamanca De Monterrico,495508.0,140.0,3539.342857142857,4,1,0,0.0,1,3838.0,537320.0,0.078,,,3,23,0.224,mejorando,0.203,0.49,0.686854963693964,17.174936
147856908,Urbania,ATE,150103,Prolongacion Javier Prado Este 9132,Ate Vitarte,518000.0,152.0,3407.8947368421054,4,3,1,50.0,1,3838.0,583376.0,0.112,,,3,23,0.224,mejorando,0.203,0.49,0.686854963693964,17.174936
147904279,Urbania,ATE,150103,Lerida 211 al 200,Mayorazgo,530100.0,143.0,3706.993006993007,3,3,0,100.0,1,3838.0,548834.0,0.034,,,3,23,0.224,mejorando,0.203,0.49,0.686854963693964,17.174936
149751839,Urbania,ATE,150103,Avenida Paracas,Salamanca De Monterrico,595000.0,140.0,4250.0,4,3,0,200.0,1,3838.0,537320.0,-0.107,,,3,23,0.224,mejorando,0.203,0.49,0.686854963693964,17.174936
147856000,Urbania,ATE,150103,Jr. Juan Jose Crespo al 100,Ate Vitarte,684560.0,372.0,1840.215053763441,3,2,2,0.0,1,3838.0,1427736.0,0.521,,,3,23,0.224,mejorando,0.203,0.49,0.686854963693964,17.174936
149037885,Urbania,ATE,150103,Av. Prol. Javier Prado Este 9051 al 9000,Ate Vitarte,705600.0,270.0,2613.3333333333335,5,4,0,0.0,1,3838.0,1036260.0,0.319,,,3,23,0.224,mejorando,0.203,0.49,0.686854963693964,17.174936
149365027,Urbania,ATE,150103,Salamanca de Monterrico,Salamanca De Monterrico,720000.0,136.0,5294.117647058823,3,3,1,120.0,1,3838.0,521968.0,-0.379,,,3,23,0.224,mejorando,0.203,0.49,0.686854963693964,17.174936
