ANIO,MES,DPTO_HECHO_NEW,PROV_HECHO,DIST_HECHO,UBIGEO_HECHO,P_MODALIDADES,cantidad
2025,2,LIMA METROPOLITANA,LIMA,SANTA ANITA,150137,Estafa,26
2025,2,LIMA METROPOLITANA,LIMA,SURQUILLO,150141,Extorsión,7
2025,3,LIMA METROPOLITANA,LIMA,BARRANCO,150104,Estafa,20
2025,3,LIMA METROPOLITANA,LIMA,BARRANCO,150104,Robo,20
2025,3,LIMA METROPOLITANA,LIMA,BREÑA,150105,Hurto,125
2025,3,PROV. CONST. DEL CALLAO,CALLAO,CALLAO,70101,Secuestro,1
2025,3,PROV. CONST. DEL CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,70103,Hurto,4
2025,3,LIMA METROPOLITANA,LIMA,JESUS MARIA,150113,Extorsión,4
2025,3,PROV. CONST. DEL CALLAO,CALLAO,LA PERLA,70104,Extorsión,4
2025,3,PROV. CONST. DEL CALLAO,CALLAO,LA PERLA,70104,Hurto,17
2025,3,LIMA METROPOLITANA,LIMA,LA VICTORIA,150115,Secuestro,1
2025,3,LIMA METROPOLITANA,LIMA,LIMA,150101,Estafa,177
2025,3,LIMA METROPOLITANA,LIMA,LURIGANCHO - CHOSICA,150118,Secuestro,2
2025,3,LIMA METROPOLITANA,LIMA,MAGDALENA DEL MAR,150120,Extorsión,2
2025,3,LIMA METROPOLITANA,LIMA,PACHACAMAC,150123,Robo,23
2025,3,LIMA METROPOLITANA,LIMA,PUENTE PIEDRA,150125,Robo,61
2025,3,LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,150133,Otros,352
2025,3,LIMA METROPOLITANA,LIMA,SANTA ROSA,150139,Secuestro,1
2025,3,LIMA METROPOLITANA,LIMA,SANTIAGO DE SURCO,150140,Estafa,71
2025,3,LIMA METROPOLITANA,LIMA,VILLA EL SALVADOR,150142,Violencia contra la mujer e integrantes,227
2025,4,LIMA METROPOLITANA,LIMA,ANCON,150102,Robo,18
2025,4,PROV. CONST. DEL CALLAO,CALLAO,BELLAVISTA,70102,Otros,112
2025,4,PROV. CONST. DEL CALLAO,CALLAO,CALLAO,70101,Hurto,202
2025,4,PROV. CONST. DEL CALLAO,CALLAO,CALLAO,70101,Robo,113
2025,4,PROV. CONST. DEL CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,70103,Hurto,6
2025,4,LIMA METROPOLITANA,LIMA,CHACLACAYO,150107,Robo,15
2025,4,LIMA METROPOLITANA,LIMA,CHACLACAYO,150107,Violencia contra la mujer e integrantes,25
2025,4,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,150112,Hurto,156
2025,4,LIMA METROPOLITANA,LIMA,JESUS MARIA,150113,Estafa,25
2025,4,LIMA METROPOLITANA,LIMA,LA MOLINA,150114,Estafa,48
2025,4,LIMA METROPOLITANA,LIMA,LA MOLINA,150114,Secuestro,2
2025,4,LIMA METROPOLITANA,LIMA,LINCE,150116,Hurto,129
2025,4,LIMA METROPOLITANA,LIMA,LINCE,150116,Robo,16
2025,4,LIMA METROPOLITANA,LIMA,MIRAFLORES,150122,Extorsión,10
2025,4,LIMA METROPOLITANA,LIMA,SAN LUIS,150134,Extorsión,5
2025,4,LIMA METROPOLITANA,LIMA,SAN MARTIN DE PORRES,150135,Extorsión,39
