listing_id,url,distrito,encabezado,moneda,precio,mantenimiento,tipo_inmueble,titulo,descripcion,rooms,bedrooms,bathrooms,area_m2,address_region,address_locality
150927654,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santiago-de-surco-lima-3-dormitorios-150927654,SANTIAGO DE SURCO,"Venta Departamento en Santiago de Surco S/ 449,750",PEN,449750.0,,Apartment,Venta de Departamento en Santiago de Surco - Lima 3 Dormitorios y - 150927654 | Urbania Peru,"¿Buscas espacio real, tranquilidad y una ubicación estratégica en Surco? Este departamento en 8vo piso (último piso, máxima privacidad y cero ruido de vec...",3.0,3.0,2.0,83.0,Santiago de Surco,"Lima, Lima, Peru urbania, "
66124298,https://urbania.pe/inmueble/clasificado/vecltein-venta-de-terreno-en-los-reyes-cerro-azul-66124298,LOS REYES CERRO AZUL,"Venta Terreno / Lote en Los Reyes S/ 51,000",PEN,51000.0,127.0,,,,,,,,,
150944019,https://urbania.pe/inmueble/clasificado/vecllcin-venta-de-local-comercial-en-chorrillos-lima-2-dormitorios-150944019,CHORRILLOS,"Venta Local comercial en Chorrillos S/ 800,000",PEN,800000.0,,,,,,,,,,
150911184,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-miraflores-lima-4-dormitorios-ascensor-150911184,MIRAFLORES,"Venta Departamento en Miraflores S/ 1,904,000",PEN,1904000.0,600.0,Apartment,Venta de Departamento en Miraflores - Lima 4 Dormitorios y - 150911184 | Urbania Peru,"Exclusivo dúplex de estreno en Colón, Miraflores, desarrollado por la constructora Magnífica. Una propiedad de diseño contemporáneo y acabados premium, ub...",4.0,4.0,4.0,214.0,Miraflores,"Lima, Lima, Peru urbania, "
150912067,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-miraflores-lima-2-dormitorios-150912067,MIRAFLORES,"Venta Departamento en Miraflores S/ 619,000",PEN,619000.0,,Apartment,Venta de Departamento en Miraflores - Lima 2 Dormitorios y - 150912067 | Urbania Peru,"Departamento ubicado en el corazón de Miraflores, rodeado de restaurantes, cafés, tiendas por departamento, centros de estudios, supermercados, clubes, pa...",2.0,2.0,2.0,65.0,Miraflores,"Lima, Lima, Peru urbania, "
150946360,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-orrantia-san-isidro-3-dormitorios-150946360,ORRANTIA,"Venta Departamento en Orrantia S/ 1,445,000",PEN,1445000.0,600.0,Apartment,Venta de Departamento en San Isidro - Lima 3 Dormitorios y - 150946360 | Urbania Peru,"Precio: USD 425,000 Los Robles – San Isidro Dúplex N.° 604 | Pisos 6 y 7 Área total: 177.31 m² 3 dormitorios | 2 baños completos + 2 baños de visita | TV ...",3.0,3.0,2.0,177.0,Orrantia,"San Isidro, Lima, Lima, Peru urbania"
150964137,https://urbania.pe/inmueble/proyecto/veunapin-venta-de-departamento-en-residencial-san-felipe-jesus-maria-3-dormitorios-150964137,RESIDENCIAL SAN FELIPE,,,,,Apartment,Venta de Departamento en Jesús María - Lima 3 Dormitorios y - 150964137 | Urbania Peru,"3 dormitorios Tipo B104, 3 dormitorios Tipo B104...",3.0,3.0,2.0,85.0,Residencial San Felipe,"Jesús María, Lima, Lima, Peru urbania"
150950605,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-isidro-lima-150950605,SAN ISIDRO,"Venta Departamento en San Isidro S/ 340,000",PEN,340000.0,,Apartment,Venta de Departamento en San Isidro - Lima 0 Dormitorio y - 150950605 | Urbania Peru,"¡Bienvenido al corazón vibrante de San Isidro! Presentamos un encantador departamento ubicado en la prestigiosa Calle Los Laureles, un área conocida por s...",,,,98.0,San Isidro,"Lima, Lima, Peru urbania, "
149642932,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santiago-de-surco-lima-2-dormitorios-149642932,SANTIAGO DE SURCO,"Venta Departamento en Santiago de Surco S/ 631,000",PEN,631000.0,380.0,Apartment,Venta de Departamento en Santiago de Surco - Lima 2 Dormitorios y - 149642932 | Urbania Peru,"Estreno Vive en un edificio certificado EDGE, diseñado para reducir consumo y ofrecer mayor confort. Ubicado rente a un parque, en una zona tranquila y co...",2.0,2.0,2.0,80.0,Santiago de Surco,"Lima, Lima, Peru urbania, "
149954228,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-la-molina-lima-4-dormitorios-149954228,LA MOLINA,"Venta Casa en La Molina S/ 2,958,000",PEN,2958000.0,1200.0,House,Venta de Casa en La Molina - Lima 4 Dormitorios y - 149954228 | Urbania Peru,"EXCLUSIVA CASA MODERNA EN CONDOMINIO LA PORTADA DEL HARAS – LA MOLINA ELEGANTE, MODERNA E IMPECABLE CASA ESTILO MINIMALISTA, ubicada en el exclusivo Cond...",4.0,4.0,4.0,500.0,La Molina,"Lima, Lima, Peru urbania, "
